file_id,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,string,phase,font_size,correct_response,encoding_context,correct
data_2021-05-11-03-12-21_8ecrds0o0l,3022.0000000000005,Welcome to the experiment. Press any key to begin.,NA,html-keyboard-response,0,3031,0.0-0.0,NA,NA,NA,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,2421,<p>You will see some nonwords</p><p>Remember them for a later memory test</p><p>Press any key to begin.</p>,NA,html-keyboard-response,1,5455,0.0-1.0,NA,NA,NA,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 30pt;'>IRFLZ</p>,null,html-keyboard-response,2,7459,0.0-2.0-0.0,IRFLZ,Encoding,30pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 15pt;'>SMWBH</p>,null,html-keyboard-response,3,8461,0.0-2.0-0.1,SMWBH,Encoding,15pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 30pt;'>SYZPR</p>,null,html-keyboard-response,4,9463,0.0-2.0-0.2,SYZPR,Encoding,30pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 30pt;'>TKUKD</p>,null,html-keyboard-response,5,10465,0.0-2.0-0.3,TKUKD,Encoding,30pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 30pt;'>JIFPI</p>,null,html-keyboard-response,6,11467,0.0-2.0-0.4,JIFPI,Encoding,30pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 15pt;'>XSAWG</p>,null,html-keyboard-response,7,12479,0.0-2.0-0.5,XSAWG,Encoding,15pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 30pt;'>CBBLI</p>,null,html-keyboard-response,8,13482,0.0-2.0-0.6,CBBLI,Encoding,30pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 30pt;'>ZGXQY</p>,null,html-keyboard-response,9,14484,0.0-2.0-0.7,ZGXQY,Encoding,30pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 15pt;'>JATPS</p>,null,html-keyboard-response,10,15486,0.0-2.0-0.8,JATPS,Encoding,15pt,NA,NA,NA
data_2021-05-11-03-12-21_8ecrds0o0l,null,<p id = 'id_encode' style = 'font-size: 15pt;'>RIEGW</p>,null,html-keyboard-response,11,16487,0.0-2.0-0.9,RIEGW,Encoding,15pt,NA,NA,NA
