file_id,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,task,correct_response,correct
data_2021-04-15-15-41-56_8y257amsbz,5732,"
  <p> Welcome to my experiment </p>
  <p> Press any key to continue </p>
",enter,html-keyboard-response,0,5736,0.0-0.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,1193,"
  <p> You will hear some sounds </p>
  <p> Remember them for a later memory test </p>
  <p> Press any key to continue </p>
",enter,html-keyboard-response,1,6930,0.0-1.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,1498,audio/A3.mp3,enter,audio-keyboard-response,2,8453,0.0-2.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,537,audio/C3.mp3,enter,audio-keyboard-response,3,8999,0.0-3.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,401,audio/E4.mp3,enter,audio-keyboard-response,4,9413,0.0-4.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,366,audio/E5.mp3,enter,audio-keyboard-response,5,9790,0.0-5.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,1494,"
  <p> You will hear some old sounds, and some new sounds </p>
  <p> Press O for old sound and N for new sounds </p>
  <p> Press any key to continue </p>
",o,html-keyboard-response,6,11284,0.0-6.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,7,12285,0.0-7.0-0.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,700,audio/A3.mp3,o,audio-keyboard-response,8,12985,0.0-7.0-1.0,response,o,TRUE
data_2021-04-15-15-41-56_8y257amsbz,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,9,13986,0.0-7.0-0.1,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,412,audio/C5.mp3,n,audio-keyboard-response,10,14406,0.0-7.0-1.1,response,n,TRUE
data_2021-04-15-15-41-56_8y257amsbz,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,11,15407,0.0-7.0-0.2,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,473,audio/E4.mp3,o,audio-keyboard-response,12,15880,0.0-7.0-1.2,response,o,TRUE
data_2021-04-15-15-41-56_8y257amsbz,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,13,16881,0.0-7.0-0.3,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,438,audio/E5.mp3,n,audio-keyboard-response,14,17320,0.0-7.0-1.3,response,o,FALSE
data_2021-04-15-15-41-56_8y257amsbz,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,15,18321,0.0-7.0-0.4,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,569,audio/C3.mp3,o,audio-keyboard-response,16,18892,0.0-7.0-1.4,response,o,TRUE
data_2021-04-15-15-41-56_8y257amsbz,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,17,19892,0.0-7.0-0.5,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,586,audio/C4.mp3,n,audio-keyboard-response,18,20489,0.0-7.0-1.5,response,n,TRUE
data_2021-04-15-15-41-56_8y257amsbz,3418,"<p>You responded correctly on 83% of the trials.</p>
      <p>Your average response time was 548ms.</p>
      <p>Press any key to complete the experiment. Thank you!</p>",o,html-keyboard-response,19,23908,0.0-8.0,NA,NA,NA
data_2021-04-15-15-41-56_8y257amsbz,702,<p> Thanks for participating </p>,o,html-keyboard-response,20,24610,0.0-9.0,NA,NA,NA
