file_id,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id
data_2021-04-06-15-17-20_b2wvxcr4hs,1500,"
  <p> Welcome to my experiment </p>
  <p> Press any key to continue </p>

",d,html-keyboard-response,0,1502,0.0-0.0
data_2021-04-06-15-17-20_b2wvxcr4hs,3384,audio/A3.mp3,a,audio-keyboard-response,1,4945,0.0-1.0
data_2021-04-06-15-17-20_b2wvxcr4hs,3393,audio/C3.mp3,b,audio-keyboard-response,2,8352,0.0-2.0
data_2021-04-06-15-17-20_b2wvxcr4hs,903,audio/E4.mp3,c,audio-keyboard-response,3,9266,0.0-3.0
data_2021-04-06-15-17-20_b2wvxcr4hs,705,audio/E5.mp3,d,audio-keyboard-response,4,9983,0.0-4.0
data_2021-04-06-15-17-20_b2wvxcr4hs,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,5,10985,0.0-5.0-0.0
data_2021-04-06-15-17-20_b2wvxcr4hs,1640,audio/C3.mp3,a,audio-keyboard-response,6,12626,0.0-5.0-1.0
data_2021-04-06-15-17-20_b2wvxcr4hs,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,7,13627,0.0-5.0-0.1
data_2021-04-06-15-17-20_b2wvxcr4hs,1901,audio/E4.mp3,c,audio-keyboard-response,8,15528,0.0-5.0-1.1
data_2021-04-06-15-17-20_b2wvxcr4hs,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,9,16528,0.0-5.0-0.2
data_2021-04-06-15-17-20_b2wvxcr4hs,601,audio/E5.mp3,d,audio-keyboard-response,10,17129,0.0-5.0-1.2
data_2021-04-06-15-17-20_b2wvxcr4hs,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,11,18130,0.0-5.0-0.3
data_2021-04-06-15-17-20_b2wvxcr4hs,2206,audio/A3.mp3,c,audio-keyboard-response,12,20335,0.0-5.0-1.3
data_2021-04-06-15-17-20_b2wvxcr4hs,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,13,21336,0.0-5.0-0.4
data_2021-04-06-15-17-20_b2wvxcr4hs,1097,audio/C3.mp3,b,audio-keyboard-response,14,22433,0.0-5.0-1.4
data_2021-04-06-15-17-20_b2wvxcr4hs,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,15,23434,0.0-5.0-0.5
data_2021-04-06-15-17-20_b2wvxcr4hs,967,audio/A3.mp3,c,audio-keyboard-response,16,24403,0.0-5.0-1.5
data_2021-04-06-15-17-20_b2wvxcr4hs,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,17,25405,0.0-5.0-0.6
data_2021-04-06-15-17-20_b2wvxcr4hs,1434,audio/E4.mp3,c,audio-keyboard-response,18,26840,0.0-5.0-1.6
data_2021-04-06-15-17-20_b2wvxcr4hs,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,19,27840,0.0-5.0-0.7
data_2021-04-06-15-17-20_b2wvxcr4hs,566,audio/E5.mp3,d,audio-keyboard-response,20,28407,0.0-5.0-1.7
data_2021-04-06-15-17-20_b2wvxcr4hs,3724,<p> Thanks for participating </p>,b,html-keyboard-response,21,32131,0.0-6.0
